title,url,summary,published_at_raw,published_at_iso,page_number,collected_at,run_id,dedup_key,is_duplicate_of_previous_run
"Brigou no avião? Você poderá ficar até um ano proibido de voar; entenda, em cinco pontos, a nova regra da Anac",https://g1.globo.com/turismo-e-viagem/noticia/2026/08/20/brigou-no-aviao-voce-podera-ficar-ate-um-ano-proibido-de-voar-entenda-em-cinco-pontos-a-nova-regra-da-anac.ghtml,"...Contratos de transporte deverão ser alterados em razão da Lei Geral de Proteção de Dados (LGPD)
Renato Pajuelo/AFP via Getty Images... — ...À BBC, afirmou que ""haverá mudanças nos contratos de transporte aéreo e, caso necessário, ajustes devido àLGPD""...",há 6 dias,2026-08-20T23:20:52.824144+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,64559f129f47dae12477c7704dee49f108d3b80758c3f69b389d76e37f482c9c,False
"Latam diz que falha de segurança expôs nome, endereço e parte do cartão de crédito de clientes",https://g1.globo.com/tecnologia/noticia/2026/08/19/latam-incidente-seguranca-dados.ghtml,"...Em respeito aos clientes e em cumprimento à Lei Geral de Proteção de Dados (LGPD) e a legislação aplicável, a companhia comunicou o...",há 6 dias,2026-08-20T23:20:52.824144+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,c29f80821c6961904ba34675ce82c39deee582a35d5d717e67e21000b2ff3984,False
Cloud para startups: como estruturar infraestrutura desde o início,https://g1.globo.com/pr/parana/especial-publicitario/gate7-it-solutions-gestao-de-ti-inteligente/noticia/2026/08/21/cloud-para-startups-como-estruturar-infraestrutura-desde-o-inicio.ghtml,"...A Lei Geral de Proteção de Dados (LGPD) se aplica a empresas de qualquer porte ou estágio de maturidade, o que significa que startups...",há 5 dias,2026-08-21T23:20:52.824144+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,44c544534feafa450649b1117f7a1d2a7ddd9ba97efb8be8ae8a3cacb0acb9ab,False
Pastor-belga que atacou veterinária no Senado é retirado das atividades e passará por exames,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/pastor-belga-que-atacou-veterinaria-no-senado-e-retirado-das-atividades-e-passara-por-exames.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD... — ...Senado Federal ressalta que a divulgação de informações clínicas está sujeita ao sigilo médico e à Lei Geral de Proteção de Dados (LGPD...",19/08/2026 00:00,2026-08-19T03:00:00+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,fff20b989b9da8f0b2ff7cd8260932a6b9e1216eeae6b69c1249a4501188c5a7,False
Vazamento de dados na Latam: entenda o que foi exposto e como se proteger,https://g1.globo.com/tecnologia/noticia/2026/08/20/vazamento-de-dados-na-latam-entenda-o-que-foi-exposto-e-como-se-proteger.ghtml,"...Em respeito aos clientes e em cumprimento à Lei Geral de Proteção de Dados (LGPD) e a legislação aplicável, a companhia comunicou o...",há 6 dias,2026-08-20T23:20:52.824144+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,a06f4dda0a62d04790c24ecb29a5de903c4f938a0ae88aa305f80859a641e9c0,False
Saiba como evitar ligações abusivas: Procon de Taubaté orienta consumidores,https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2026/08/18/saiba-como-evitar-ligacoes-abusivas-procon-de-taubate-orienta-consumidores.ghtml,...O telefone é considerado um dado pessoal protegido pela Lei Geral de Proteção de Dados (LGPD)...,18/08/2026 13:23,2026-08-18T16:23:00+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,36aaa3c19562f46816a5e15571188e4bd4fd7e37b1d9ff95c8bcc10dc013a47f,False
MP investiga exposição de dados pessoais de mais de 290 pacientes na Bahia; lista inclui registros de exames de HIV e hepatite,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2026/08/19/mp-investiga-possivel-exposicao-de-dados-pessoais-e-de-saude-de-pacientes-em-santo-estevao.ghtml,"...unidades públicas de saúde na Bahia e outros estados
Vazamento de dados de mais de 600 pessoas com HIV na BA viola Constituição,LGPD...",19/08/2026 15:38,2026-08-19T18:38:00+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,cf57987a6f6e3584041ac42bd3e5ec8775c87ec249a7e82f32bfc0a950f345c2,False
Jovem de 15 anos morre após ir à UPA com dor de dente no DF; família denuncia negligência,https://g1.globo.com/df/distrito-federal/noticia/2026/08/19/jovem-de-15-anos-morre-apos-ir-a-upa-com-dor-de-dente-no-df-familia-denuncia-negligencia.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD...",há 6 dias,2026-08-20T23:20:52.824144+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,aff2eac0f76fbac9c68d63b30a9c15d6a006b5dfe96289302542d59d98ebc111,False
"Criança de 10 anos ferida após deslizamento de terra onde a mãe morreu segue na UTI, em SC",https://g1.globo.com/sc/santa-catarina/noticia/2026/08/17/crianca-10-anos-ferida-deslizamento-onde-mae-morreu-segue-na-uti.ghtml,"...A Secretaria de Estado da Saúde de Santa Catarina (SES/SC) segue a Lei Geral de Proteção de Dados (LGPD), Lei nº 13.709/2018, que protege...",17/08/2026 10:24,2026-08-17T13:24:00+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,84009f7b1d21f4a0875c75784544c4153dabc8795e7cead7d8a9391218567d37,False
Veterinária atacada por pastor-belga do Senado no centro de Brasília passa por cirurgia,https://g1.globo.com/df/distrito-federal/noticia/2026/08/18/veterinaria-atacada-por-pastor-belga-do-senado-no-centro-de-brasilia-passa-por-cirurgia-estado-e-grave.ghtml,"...Essa conduta observa as normas do Conselho Federal de Medicina (CFM), o Código de Ética Médica e a Lei Geral de Proteção de Dados (LGPD...",18/08/2026 19:06,2026-08-18T22:06:00+00:00,2,2026-08-26T23:20:52.824144+00:00,069172c060ba,a19be0ab2b401791f8b35f977797fe5bda9ccdada002f904f23a2d5074e620ab,False
Gilmar Mendes critica vazamento de conversas privadas de Vorcaro e ex-namorada e defende 'LGPD Penal',https://g1.globo.com/politica/noticia/2026/03/09/gilmar-mendes-critica-vazamento-de-conversas-privadas-de-vorcaro-e-ex-namorada-e-defende-lgpd-penal.ghtml,"...Defesa daLGPDPenal
O ministro também reforçou a necessidade urgente de aprovação da Lei Geral de Proteção de Dados aplicada ao âmbito... — ...penal (LGPDPenal), em discussão no Congresso...",09/03/2026 16:04,2026-03-09T19:04:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,438580fe234d825876ddd9a372558a095efd53d8309ebc128c5f907c48766639,False
Prefeitura suspende aplicativo de Zona Azul após vazamento de dados de clientes em Poços de Caldas,https://g1.globo.com/mg/sul-de-minas/noticia/2026/07/14/prefeitura-suspende-aplicativo-de-zona-azul-apos-vazamento-de-dados-de-clientes-em-pocos-de-caldas.ghtml,"...Procon instaurou procedimento administrativo para investigar o incidente, verificar o cumprimento da Lei Geral de Proteção de Dados (LGPD...",14/07/2026 15:14,2026-07-14T18:14:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,8bca7abbb12908cd7cd0d441aeadff1a4de81e22a668c6e3b75305843359ae6d,False
Transtorno: Homem engole munição e precisa ser operado no interior de MS,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/08/13/homem-engole-municao-e-passa-por-cirurgia-em-ms.ghtml,"...estado de saúde do homem, mas a unidade informou que não poderia divulgar detalhes em respeito à Lei Geral de Proteção de Dados (LGPD...",13/08/2026 17:17,2026-08-13T20:17:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,cbd57fd5be4266432845ef1aa08be44e31b8b56ad421518bfd991a98d3236701,False
ECA Digital encorpou fiscalização da ANPD sobre redes sociais e proteção de crianças,https://g1.globo.com/politica/blog/julia-duailibi/post/2026/08/13/eca-digital-encorpou-fiscalizacao-da-anpd-sobre-redes-sociais-e-protecao-de-criancas.ghtml,"...Nacional de Proteção de Dados (ANPD), criada originalmente em 2020 para fiscalizar a aplicação da Lei Geral de Proteção de Dados (LGPD...",13/08/2026 08:20,2026-08-13T11:20:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,c868ccd528a34f825523194e7cc9a6cc9ee36f4768cf542f9a60b4b12ae34de0,False
UFR expulsa estudante de engenharia após caso de capacitismo contra colega com deficiência,https://g1.globo.com/mt/mato-grosso/noticia/2026/08/11/ufr-desliga-estudante-apos-apuracao-de-caso-de-capacitismo-contra-colega-com-deficiencia-em-mt.ghtml,"...Segundo a UFR, a decisão segue a Lei Geral de Proteção de Dados Pessoais (LGPD), que estabelece regras para o tratamento de informações...",11/08/2026 18:39,2026-08-11T21:39:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,a5d36a0359a764ee4ab291b0d2a8bb0b5e8d5c473623bd1d74f5bb5ce60d69f1,False
Fiança Locatícia e LGPD: como proteger dados em um processo tão sensível,https://g1.globo.com/sp/campinas-regiao/especial-publicitario/liveb-bank-liveb-bank-fianca-locaticia/noticia/2025/11/17/fianca-locaticia-e-lgpd-como-proteger-dados-em-um-processo-tao-sensivel.ghtml,"...ALGPDreforça que informações não devem ser mantidas por tempo indefinido sem necessidade... — ...Para as imobiliárias, a escolha de parceiros alinhados àLGPDé um fator estratégico...",17/11/2025 14:18,2025-11-17T17:18:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,e013aafe2c5b89b874a74cfa049e0ed24c1d10d97e559dc6faeb5be3625f7b55,False
Estudantes de psicologia da Uniso denunciam negligência da gestão ao MEC e apontam crise institucional,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/08/11/curso-psicologia-uniso-denuncia-negligencia.ghtml,"...""Em respeito à Lei Geral de Proteção de Dados (LGPD), processos individuais de contratação ou desligamento de docentes não serão comentados...",11/08/2026 15:48,2026-08-11T18:48:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,b3b3cf7b57711a280562285eb4846cbd6ba435dcf724b19d87c5cbd09bf7d1eb,False
"Enfermeira denuncia ter sido agredida em plantão no hospital de Samambaia, no DF",https://g1.globo.com/df/distrito-federal/noticia/2026/08/10/enfermeira-denuncia-ter-sido-agredida-durante-plantao-em-hospital-publico-em-samambaia-no-df.ghtml,"...das informações de saúde, assegurados pela Constituição Federal, pela Lei Geral de Proteção de Dados Pessoais (Lei nº 13.709/2018 –LGPD...",10/08/2026 18:58,2026-08-10T21:58:00+00:00,3,2026-08-26T23:20:52.824144+00:00,069172c060ba,5031d664687b2a2b0a1bc214ea601fe513ff0089a11a5d320906b3273231c908,False
